timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673813382558,1009,Post user,200,OK,Crud users 1-105,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1009,0,768
1673813382473,1094,Post user,500,Internal Server Error,Crud users 1-62,,false,,151,322,500,500,https://accor-fab.herokuapp.com/dev/users,1094,0,854
1673813382475,1093,Post user,200,OK,Crud users 1-63,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1093,0,818
1673813382383,1185,Post user,200,OK,Crud users 1-17,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1185,0,914
1673813382606,990,Post user,200,OK,Crud users 1-129,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,990,0,710
1673813382366,1230,Post user,500,Internal Server Error,Crud users 1-8,,false,,151,322,500,500,https://accor-fab.herokuapp.com/dev/users,1230,0,1021
1673813383387,210,Patch user,405,Method Not Allowed,Crud users 1-85,,false,,166,324,500,500,https://accor-fab.herokuapp.com/dev/users/,210,0,0
1673813382373,1225,Post user,200,OK,Crud users 1-12,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1194,0,946
1673813382635,964,Post user,200,OK,Crud users 1-143,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,932,0,684
1673813382514,1086,Post user,200,OK,Crud users 1-83,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1086,0,809
1673813382723,877,Post user,500,Internal Server Error,Crud users 1-187,,false,,151,322,500,500,https://accor-fab.herokuapp.com/dev/users,877,0,602
1673813382501,1099,Post user,200,OK,Crud users 1-76,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1099,0,826
1673813382505,1096,Post user,500,Internal Server Error,Crud users 1-78,,false,,151,322,500,500,https://accor-fab.herokuapp.com/dev/users,1096,0,822
1673813383399,202,Patch user,200,OK,Crud users 1-94,text,true,,269,327,500,500,https://accor-fab.herokuapp.com/dev/users/522,202,0,0
1673813383402,199,Patch user,405,Method Not Allowed,Crud users 1-24,,false,,166,324,500,500,https://accor-fab.herokuapp.com/dev/users/,199,0,0
1673813382360,1241,Post user,500,Internal Server Error,Crud users 1-5,,false,,151,322,500,500,https://accor-fab.herokuapp.com/dev/users,1241,0,992
1673813382687,915,Post user,500,Internal Server Error,Crud users 1-169,,false,,151,322,500,500,https://accor-fab.herokuapp.com/dev/users,915,0,677
1673813382688,914,Post user,500,Internal Server Error,Crud users 1-170,,false,,151,322,500,500,https://accor-fab.herokuapp.com/dev/users,914,0,665
1673813382529,1073,Post user,500,Internal Server Error,Crud users 1-90,,false,,151,322,500,500,https://accor-fab.herokuapp.com/dev/users,1073,0,840
1673813382370,1233,Post user,200,OK,Crud users 1-11,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1233,0,1009
1673813383379,225,Patch user,200,OK,Crud users 1-66,text,true,,269,327,500,500,https://accor-fab.herokuapp.com/dev/users/579,225,0,0
1673813383382,222,Patch user,200,OK,Crud users 1-29,text,true,,269,327,500,500,https://accor-fab.herokuapp.com/dev/users/298,222,0,0
1673813382369,1235,Post user,200,OK,Crud users 1-10,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1235,0,1014
1673813382664,940,Post user,200,OK,Crud users 1-158,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,940,0,720
1673813382716,889,Post user,200,OK,Crud users 1-184,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,889,0,669
1673813383387,218,Patch user,200,OK,Crud users 1-96,text,true,,269,327,500,500,https://accor-fab.herokuapp.com/dev/users/517,218,0,0
1673813382478,1127,Post user,200,OK,Crud users 1-65,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,1120,0,841
1673813382643,962,Post user,200,OK,Crud users 1-147,text,true,,311,322,500,500,https://accor-fab.herokuapp.com/dev/users,962,0,676
